DateTimeUTC,0,1,2,3,4,5,6,7,8,9
2017-01-03 19:00:00,-0.28821033,0.34919986,-0.6964849,0.6651977,0.10780668,-0.35455817,-0.14976045,-0.7320571,0.26324537,-0.67932856
2017-01-03 20:00:00,-1.082142,0.70864177,-0.015923709,0.92016155,-0.3396665,0.05694318,-0.26502916,-0.28075194,0.04131329,-0.42471254
2017-01-03 21:00:00,-0.9912845,0.06804228,0.51117474,0.9013742,-0.39664668,0.21913034,-0.33623353,-0.13676146,0.19742146,-0.2648702
2017-01-03 22:00:00,-0.82230496,-0.08583158,0.6426339,0.86077106,-0.7117926,0.030681908,-0.31828335,-0.28528613,0.52599907,-0.6247378
2017-01-03 23:00:00,-1.0199817,0.05755073,0.57275975,0.9280646,-0.83078384,-0.020162463,-0.3268669,-0.42662078,0.6639452,-0.83292145
2017-01-04 00:00:00,-1.10371,0.238039,0.4912384,1.0732305,-0.93807244,0.14022684,-0.34296468,-0.35916376,0.70497644,-0.7891064
2017-01-04 01:00:00,-1.0520395,0.076592356,0.47914824,1.0080773,-0.9035816,-0.098918855,-0.6173929,-0.454733,0.9381006,-1.0171969
2017-01-04 02:00:00,-0.7594849,-0.45692033,0.74047685,0.6078687,-0.75330734,-0.36222357,-0.92664516,-0.29728436,0.9374374,-0.7498176
2017-01-04 03:00:00,-0.79053795,-0.5034692,0.8551993,0.45753467,-0.82593083,-0.60463005,-1.2493299,-0.29151702,0.9729359,-0.76580596
2017-01-04 04:00:00,-0.69161534,-0.64515054,0.7776105,0.48206258,-0.9086236,-0.4914673,-1.2944506,-0.22852147,1.05118,-0.7552481
2017-01-04 05:00:00,-0.66388535,-0.68473697,0.63568896,0.7751189,-1.1449172,-0.31835824,-1.182002,-0.24615097,1.2156173,-0.80897456
2017-01-04 06:00:00,-0.8001961,-0.5192556,0.4854636,0.9668711,-1.4401084,-0.045052886,-0.9898164,-0.24129051,1.2544074,-0.7207335
2017-01-04 07:00:00,-1.3268305,0.16237122,0.4528817,1.1716454,-1.744995,0.11635631,-0.80451465,-0.31349248,1.1417613,-0.69990766
2017-01-04 08:00:00,-0.9528709,0.4667168,0.70745564,1.1362277,-1.1399075,0.4101263,-0.0068672895,-0.10783115,0.7041265,-0.17618853
2017-01-04 09:00:00,-0.27807152,-0.084515095,0.713828,0.7016595,0.011580631,0.7792672,0.36370853,0.22791074,-0.24248074,0.93680733
2017-01-04 10:00:00,0.2627567,-0.2834986,0.14393726,0.42643923,0.25555313,0.73659146,0.3639294,0.49331644,-0.25376236,0.8235982
2017-01-04 11:00:00,0.57867765,-0.2661258,-0.15342876,0.3351564,0.28870654,0.69462943,0.42076802,0.7062942,-0.22591664,0.6434245
2017-01-04 12:00:00,0.4779966,-0.2982518,-0.20140311,0.21447697,0.29652283,0.70440936,0.32789537,0.67066264,-0.27914754,0.62208784
2017-01-04 13:00:00,0.20980155,-0.62489784,0.18841422,0.12565789,0.4318346,1.0503387,0.4481222,0.7594228,-0.4193204,1.0883913
2017-01-04 14:00:00,0.3000313,-0.6278939,0.34293973,0.27229014,0.4103864,1.0169188,0.5207466,0.7226671,-0.39736083,1.236651
2017-01-04 15:00:00,0.22544944,-0.54208004,0.47390872,0.19861376,0.39500526,1.0698508,0.54644054,0.6775936,-0.42279148,1.2621946
2017-01-04 16:00:00,0.21548092,-0.5499941,0.37955493,0.19538319,0.35961196,1.071205,0.47454637,0.67741084,-0.42373696,1.2520313
2017-01-04 17:00:00,0.312508,-0.72219026,0.10664365,0.29078323,0.27503416,0.87562597,0.37111536,0.6751307,-0.57850957,1.1358235
2017-01-04 18:00:00,0.20568669,-0.80350924,0.11766416,0.43827036,0.20594501,0.7896725,0.34211123,0.63680506,-0.6121799,1.112484
2017-01-04 19:00:00,0.5409045,-1.1152214,-0.2921376,0.13164103,0.39587364,0.6174865,0.5226116,0.77189165,-0.7588673,0.910028
2017-01-04 20:00:00,0.4853803,-0.93990326,-0.3245298,-0.09225249,0.535089,0.4820274,0.62110126,0.6519084,-0.8380494,0.7577788
2017-01-04 21:00:00,0.5291345,-0.9785236,-0.34819582,-0.087662876,0.572268,0.47189748,0.69311893,0.65811133,-0.79795456,0.70950806
2017-01-04 22:00:00,0.5002494,-0.934003,-0.27493283,0.018965364,0.59015465,0.472217,0.81765926,0.6734598,-0.74530065,0.6503682
2017-01-04 23:00:00,0.33718765,-0.7693012,-0.25237253,0.073416054,0.5589578,0.49007586,0.7328274,0.5990565,-0.6884002,0.5757395
2017-01-05 00:00:00,0.17529881,-0.6792532,-0.20861539,0.16820148,0.51936543,0.5502497,0.6637832,0.5805975,-0.64421356,0.55542296
2017-01-05 01:00:00,0.25137496,-0.5721666,-0.21175513,0.104239285,0.5548606,0.4772787,0.78700745,0.60559285,-0.6610397,0.5038544
2017-01-05 02:00:00,0.2447896,-0.5415085,-0.14457282,0.19562906,0.5060897,0.5264168,0.76025516,0.6236532,-0.61029154,0.5860107
2017-01-05 03:00:00,0.26442873,-0.6047995,-0.13178024,0.22033101,0.4966825,0.555621,0.78782547,0.66643035,-0.5782606,0.5884995
2017-01-05 04:00:00,0.18762767,-0.44662863,-0.008511037,0.29204655,0.46699432,0.5484191,0.8431523,0.6008278,-0.5457255,0.5573543
2017-01-05 05:00:00,0.099346995,-0.34429395,-0.009865254,0.44444862,0.35821393,0.522532,0.7565776,0.534642,-0.42883247,0.408118
2017-01-05 06:00:00,0.09752041,-0.39181125,-0.032640487,0.43267274,0.3532848,0.59315896,0.72220224,0.57065177,-0.40349278,0.4177269
2017-01-05 07:00:00,-0.00947541,-0.40311825,-0.09681454,0.36569065,0.33583137,0.6047507,0.6074809,0.5154701,-0.40650475,0.33684224
2017-01-05 08:00:00,-0.008191466,-0.28511465,-0.05233714,0.46546343,0.32244277,0.58649284,0.6393788,0.48226464,-0.34997323,0.30999896
2017-01-05 09:00:00,0.011879623,-0.18379742,0.10850161,0.45521516,0.35057786,0.629465,0.7457876,0.50952286,-0.3544925,0.35283893
2017-01-05 10:00:00,0.07742864,0.022539169,0.3356449,0.4807919,0.36151358,0.6676449,0.8485887,0.5265417,-0.29060832,0.38648695
2017-01-05 11:00:00,0.26187634,-0.057940096,0.26393288,0.3914671,0.353565,0.71288794,0.63995814,0.5327789,-0.29585025,0.5226017
2017-01-05 12:00:00,0.38679826,-0.21559376,0.13086641,0.38238278,0.2630013,0.82198095,0.4234924,0.70490426,-0.27431637,0.6805393
2017-01-05 13:00:00,0.4163419,-0.28650802,0.06309962,0.4738188,0.2786159,0.79478544,0.45752186,0.704846,-0.31522036,0.6681193
2017-01-05 14:00:00,0.42983758,-0.55965275,0.015097916,0.23388714,0.38875952,0.84520805,0.5890343,0.7314909,-0.5258507,0.80881464
2017-01-05 15:00:00,0.1278503,-0.6015663,0.1201022,0.1750288,0.28842908,0.88369536,0.45052278,0.60191476,-0.65445757,0.9623258
2017-01-05 16:00:00,0.05309719,-0.6667875,0.19225085,0.2855024,0.10198116,0.9688632,0.25757313,0.5183067,-0.6960939,1.1356542
2017-01-05 17:00:00,0.26948142,-0.9352759,0.31815648,0.030241728,0.15047058,1.1179104,0.6757714,0.6839212,-0.8688373,1.178349
2017-01-05 18:00:00,0.24118531,-0.7415749,0.28002802,0.2988238,0.0077545047,1.0513458,0.40746748,0.6956887,-0.64381117,1.1251676
2017-01-05 19:00:00,0.5021601,-1.0391642,0.12446597,0.07533014,0.23722276,1.159056,0.53216875,0.89623123,-0.6304564,1.2263043
