DateTimeUTC,BsR_S12,BbsR_S12,BaCorr2_A13,SSA_700,D3,D24,D27,V_D15,V_D24,Nfrac_coarse
2017-01-03 07:00:00,0.32,-0.04,0.02,0.847658955,84.48949018,0.204368054,0.042794425,0.132924149,0.171661223,0.002888079
2017-01-03 08:00:00,0.63,0.01,0.14,0.868950809,139.4122329,0.177385426,0.079676277,0.135795483,0.151482601,0.00155206
2017-01-03 09:00:00,0.75,0.12,0.21,0.841671707,124.9954515,0.175156839,0.085904043,0.219957935,0.149865117,0.001141002
2017-01-03 10:00:00,0.64,0.12,0.14,0.89561385,78.43337373,0.242790652,0.114899355,0.200798795,0.20019131,0.002140004
2017-01-03 11:00:00,0.73,0.14,0.16,0.866063547,247.8077878,0.186217991,0.185032142,0.148155987,0.157779335,0.000861071
2017-01-03 12:00:00,1.35,0.18,0.16,0.929157036,108.2820127,0.382639299,0.128907619,0.077817471,0.332342285,0.001856586
2017-01-03 13:00:00,0.6,0.06,0.09,0.929737644,191.7365952,0.361363929,0.199466876,0.150105797,0.310989352,0.00274538
2017-01-03 14:00:00,0.45,0.01,0.09,0.92554221,196.8217438,0.287604625,0.375058127,0.171010396,0.244544907,0.002092517
2017-01-03 15:00:00,0.38,-0.02,0.18,0.75595051,105.0107167,0.154969406,0.032936375,0.077972408,0.134341896,0.002121232
2017-01-03 16:00:00,0.31,0.03,0.09,0.823330343,93.33700902,0.171152666,0.033169244,0.073428415,0.143395995,0.003187417
2017-01-03 17:00:00,0.38,0.04,0.08,0.888795893,71.96814245,0.182074816,0.183706253,0.076754314,0.147045274,0.004085359
2017-01-03 18:00:00,0.87,0.26,0.18,0.875560256,85.53559628,0.131047378,0.095506613,0.1863623,0.105807453,0.002069445
2017-01-03 19:00:00,1.48,0.22,0.42,0.833697829,131.6446756,0.251157254,0.112002997,0.125407266,0.219137764,0.002996842
2017-01-03 20:00:00,3.82,0.39,1.02,0.842746705,61.14519284,0.49651271,0.263461136,0.396143393,0.414127741,0.00532511
2017-01-03 21:00:00,4.09,0.38,1.08,0.846483987,56.17927294,1.214327247,0.940476293,0.28654367,1.024433792,0.012514522
2017-01-03 22:00:00,3.84,0.35,0.98,0.846747835,59.66753953,3.120371098,1.853967612,0.303914052,2.633176697,0.030771166
2017-01-03 23:00:00,3.08,0.3,0.79,0.850321944,30.17229496,3.384936181,2.019540443,0.379305581,2.877119247,0.035132328
2017-01-04 00:00:00,1.93,0.22,0.5,0.845336272,88.3494488,3.230918185,1.882002476,0.205315106,2.743586339,0.035513812
2017-01-04 01:00:00,2.89,0.29,0.76,0.839588589,44.06076844,2.511072949,1.7538676,0.205336673,2.129182936,0.032649926
2017-01-04 02:00:00,5.59,0.5,1.39,0.850896857,46.91840106,1.747028122,0.901056339,0.472740786,1.490342082,0.013894088
2017-01-04 03:00:00,7.95,0.71,1.95,0.852928752,44.93468302,2.491545384,1.542895331,0.599990026,2.103903247,0.016864673
2017-01-04 04:00:00,6.17,0.67,1.61,0.842538407,44.156013,5.456166482,2.87898856,0.622261542,4.640689544,0.036538064
2017-01-04 05:00:00,2.78,0.2,0.84,0.819842692,61.14813951,6.648183916,3.693889637,0.313563365,5.623330793,0.071645197
2017-01-04 06:00:00,1.42,0.16,0.38,0.827009966,67.94014482,4.762805018,2.753239824,0.069516565,4.028050303,0.067044941
2017-01-04 07:00:00,1.85,0.17,0.35,0.890181608,84.24913846,1.894771486,1.074887896,0.170308511,1.613190946,0.02112529
2017-01-04 08:00:00,1.32,0.14,0.27,0.873752177,85.77320822,1.216812455,0.947799138,0.238571036,1.017142577,0.012556066
2017-01-04 09:00:00,1.2,0.21,0.21,0.88092491,101.0158682,1.47200984,0.571062484,0.258582867,1.257407592,0.012948291
2017-01-04 10:00:00,1.21,0.26,0.25,0.87606505,129.9896971,0.876484066,0.521469364,0.290840342,0.754611527,0.007791459
2017-01-04 11:00:00,1.65,0.21,0.23,0.916077213,75.79474509,0.856649451,0.599166322,0.241377669,0.724375562,0.007725476
2017-01-04 12:00:00,1.45,0.15,0.26,0.900472234,153.1418679,0.793668974,0.654180504,0.189398818,0.670754259,0.005313864
2017-01-04 13:00:00,1.85,0.17,0.49,0.843945634,104.3964682,0.846917623,0.702070463,0.19598393,0.720774356,0.005845405
2017-01-04 14:00:00,3.11,0.41,0.77,0.85165358,64.50465199,0.852529833,0.721693485,0.354761077,0.728303435,0.007101545
2017-01-04 15:00:00,1.67,0.17,0.33,0.880001687,61.03246047,1.207623476,0.967914841,0.161234903,1.021884529,0.016180976
2017-01-04 16:00:00,1.15,0.3,0.37,0.806887837,143.8411615,2.611845648,1.676536522,0.263356745,2.210403681,0.016280624
2017-01-04 17:00:00,0.95,0.07,0.24,0.84069055,217.2813064,1.013609883,0.53573754,0.166297088,0.865923855,0.005820459
2017-01-04 18:00:00,0.87,0.02,0.07,0.832017906,279.3242181,1.062213403,0.551775154,0.936938424,0.902204369,0.002708622
2017-01-04 19:00:00,0.75,0.12,0.17,0.858336446,275.5161205,1.06206626,0.551775697,0.930857953,0.902110324,0.002716011
2017-01-04 20:00:00,1.0,0.14,0.25,0.860888898,278.9916755,1.061832232,0.551813441,0.93267832,0.902016463,0.002706198
2017-01-04 21:00:00,1.47,0.09,0.39,0.851090587,276.7298745,1.06164874,0.552056335,0.933739292,0.90202388,0.002712028
2017-01-04 22:00:00,1.42,0.08,0.25,0.909467909,286.7727928,1.061892552,0.551749939,0.937824965,0.901810776,0.002686747
2017-01-04 23:00:00,1.26,0.12,0.25,0.892462774,287.816083,1.061684308,0.551855785,0.934875247,0.90180476,0.002680011
